technical_know_how,personal_traits,social_characteristics,motivating_factors,age,city
Well-networked,Selfish,Lack Social skills,Plain boredom,58,Dhangadi
Bully,Impatient,Marginalised,"Greed (easy, quick money)",53,Dharan
Strategic planners,Incited,Need to outsmart others,"Enhancing self-
worth",26,Butwal
Resourceful,Gullible,Marginalised,"Greed (easy, quick money)",23,Mahendranagar
Goal oriented,Gullible,"Insufficient social
support",Thrill-seeking,61,Kathmandu
Goal oriented,Chaotic state of mind,Mass-destruction,Anger,53,Pokhara
Resourceful,Gullible,Anti-establishment,Experimentation,27,Pokhara
Well-trained,Chaotic state of mind,Need to outsmart others,Thrill-seeking,26,Kalaiya
Smart,Incited,Social dissatisfaction,Manipulate others,53,Jitpur
Well trained,Selfish,Anti-social,Political support,49,Dharan
Well-networked,Psychiatric conditions,Rebellious,Need to Control others,60,Jitpur
Well-trained,Passionate,Misguided,Curiosity,59,Ghorahi
Focussed,Selfish,Need to outsmart others,Manipulate others,63,Janakpur
Well-networked,Risk-taker,Unlawful,"Enhancing self-
worth",36,Pokhara
Opportunists,Chaotic state of mind,Broken homes/families,Revenge,56,Dharan
Resourceful,Insensitive,Misguided,Disregard for law,49,Kalaiya
Strategic planners,Conviction in Violence,Need to outsmart others,Plain boredom,49,Janakpur
Skilful,Coercive,Inferiority complex,Risk tolerance,26,Nepalgunj
Opportunists,Strong-willed,Anti-establishment,Political beliefs,49,Bhaktapur
Focussed,Identity crisis,Radical,Emotions,52,Butwal
Opportunists,Incited,Lack Social skills,"Religious
fundamentalism",44,Jitpur
Well-networked,Impatient,"Insufficient social
support","Greed (easy, quick money)",38,Nepalgunj
Well-trained,Vengeful,Inferiority complex,Lust,61,Janakpur
Opportunists,Immoral/ Unethical,Mass-destruction,Political support,34,Bhaktapur
Skilful,Psychiatric conditions,Anti-state,Political support,58,Birgunj
Smart,Control freak,"Insufficient social
support",Lust,29,Bharatpur
Creative,Impatient,Rationalization,Anger,58,Lalitpur
Resourceful,Determined,Mass-destruction,Political beliefs,21,Lalitpur
Well-trained,Chaotic state of mind,Socially inept,Disregard for law,29,Butwal
Bully,Coward,Broken homes/families,Political support,29,Mahendranagar
Strategic planners,Secretive,Anti-establishment,"Greed (easy, quick money)",45,Jitpur
Focussed,Emotional,Broken homes/families,Anger,31,Itahari
Strategic planners,Impatient,Marginalised,Curiosity,28,Tulsipur
Well-networked,Psychiatric conditions,Rebellious,Need to Control others,41,Butwal
Strategic planners,"Psychologically
Deviant",Lack Social skills,Emotions,57,Jitpur
Well-networked,Secretive,Brain-washed,Plain boredom,57,Kalaiya
Bully,"Psychologically
Deviant",Misguided,Disregard for law,32,Kathmandu
Well trained,Secretive,Anti-establishment,Revenge,36,Jitpur
Smart,Vengeful,Anti-establishment,"Concealed
existence",61,Mahendranagar
Skilful,Inhuman Psyche,Mass-destruction,Risk tolerance,33,Ghorahi
Creative,Passionate,Social dissatisfaction,Disregard for law,25,Nepalgunj
Skilful,Inhuman Psyche,Marginalised,Manipulate others,58,Bharatpur
Smart,Inhuman Psyche,Social dissatisfaction,"Greed (easy, quick money)",50,Kathmandu
Creative,Coward,Broken homes/families,Curiosity,22,Mahendranagar
Smart,Control freak,Socially inept,"Enhancing self-
worth",23,Butwal
Well-networked,Aggressive,Mass-destruction,Thrill-seeking,41,Ghorahi
Strategic planners,Impatient,Anti-social,Experimentation,39,Butwal
Strategic planners,Immoral/ Unethical,Mass-destruction,"Religious
fundamentalism",17,Tulsipur
Well-trained,Passionate,Unlawful,Political support,64,Jitpur
Opportunists,Gullible,Need to outsmart others,Political support,31,Mahendranagar
Strategic planners,Insensitive,Anti-social,Monetary Gain,53,Kalaiya
Well trained,Control freak,Unlawful,Curiosity,50,Nepalgunj
Well-organized,Loner,Lack Social skills,Experimentation,33,Kathmandu
Skilful,"Psychologically
Deviant",Inferiority complex,Emotions,24,Dharan
Resourceful,Impatient,Broken homes/families,"Enhancing self-
worth",48,Butwal
Smart,Determined,Rebellious,Political support,33,Jitpur
Resourceful,Immoral/ Unethical,Low self-worth,Plain boredom,27,Pokhara
Smart,Control freak,Broken homes/families,Thrill-seeking,18,Kathmandu
Sharp (intelligent),Conviction in Violence,"Insufficient social
support",Intolerance,27,Ghorahi
Opportunists,Selfish,Need to outsmart others,Manipulate others,16,Bhaktapur
Well-organized,Coercive,Broken homes/families,Risk tolerance,19,Birgunj
Smart,Loner,Reinforcement available,No fear of punishment,61,Bhaktapur
Well-organized,Passionate,Intolerance to diversity of opinion,Monetary Gain,62,Kathmandu
Well-organized,Incited,Inferiority complex,Political beliefs,16,Birgunj
Focussed,Psychiatric conditions,Misguided,"Greed (easy, quick money)",61,Hetauda
Focussed,Risk-taker,Brain-washed,"Religious
fundamentalism",38,Birgunj
Well-networked,Chaotic state of mind,"Insufficient social
support","Religious
fundamentalism",38,Birgunj
Well-networked,Impatient,Broken homes/families,Lust,64,Biratnagar
Strategic planners,"Psychologically
Deviant",Rebellious,Disregard for law,26,Biratnagar
Strategic planners,Chaotic state of mind,Socially inept,Intolerance,20,Kalaiya
Strategic planners,Vengeful,Rebellious,Lust,60,Kathmandu
Creative,Selfish,Social dissatisfaction,Lust,28,Itahari
Creative,Immoral/ Unethical,Social dissatisfaction,Lust,56,Janakpur
Well-networked,Impatient,Socially inept,Intolerance,48,Kathmandu
Well-organized,Coward,"Insufficient social
support",Curiosity,29,Biratnagar
Skilful,Aggressive,Low self-worth,Political beliefs,65,Nepalgunj
Focussed,Insensitive,Social dissatisfaction,Revenge,51,Bharatpur
Sharp (intelligent),"Psychologically
Deviant",Misguided,Political beliefs,34,Hetauda
Skilful,"Psychologically
Deviant",Anti-establishment,Political beliefs,52,Kalaiya
Well trained,Coward,Brain-washed,Plain boredom,46,Biratnagar
Sharp (intelligent),Coercive,Broken homes/families,Emotions,30,Nepalgunj
Focussed,Emotional,Anti-establishment,Lust,26,Dharan
Bully,Coercive,Reinforcement available,Experimentation,22,Kalaiya
Focussed,Insensitive,Low self-worth,"Enhancing self-
worth",38,Biratnagar
Smart,Passionate,"Insufficient social
support",Manipulate others,63,Lalitpur
Opportunists,Strong-willed,"Insufficient social
support",Emotions,37,Nepalgunj
Resourceful,Insensitive,Misguided,Manipulate others,56,Lalitpur
Well-organized,Incited,Marginalised,Emotions,24,Hetauda
Smart,Inhuman Psyche,Intolerance to diversity of opinion,Disregard for law,23,Hetauda
Sharp (intelligent),Gullible,Anti-establishment,Plain boredom,63,Butwal
Bully,Determined,Anti-social,Emotions,40,Ghorahi
Focussed,Control freak,"Insufficient social
support","Religious
fundamentalism",44,Kathmandu
Well-trained,Risk-taker,Social dissatisfaction,"Religious
fundamentalism",50,Tulsipur
Strategic planners,Conviction in Violence,Rebellious,Plain boredom,63,Birgunj
Creative,Aggressive,Brain-washed,Curiosity,41,Bharatpur
Resourceful,Secretive,Radical,"Religious
fundamentalism",35,Biratnagar
Opportunists,Determined,Inferiority complex,Lust,57,Birgunj
Well-networked,Coercive,Social dissatisfaction,Lust,28,Mahendranagar
Well-networked,Psychiatric conditions,Need to outsmart others,Plain boredom,54,Kathmandu
Well trained,Inhuman Psyche,"Insufficient social
support",Plain boredom,61,Birgunj
Skilful,"Psychologically
Deviant",Reinforcement available,No fear of punishment,26,Mahendranagar
Smart,Loner,Social dissatisfaction,Plain boredom,24,Hetauda
Sharp (intelligent),Gullible,Anti-social,"Religious
fundamentalism",19,Janakpur
Bully,Conviction in Violence,Broken homes/families,"Enhancing self-
worth",19,Hetauda
Smart,Insensitive,Anti-establishment,Emotions,56,Birgunj
Well-trained,Conviction in Violence,Social dissatisfaction,Need to Control others,54,Hetauda
Focussed,Coercive,Mass-destruction,"Greed (easy, quick money)",58,Nepalgunj
Focussed,Gullible,Social dissatisfaction,Curiosity,48,Mahendranagar
Resourceful,Coward,Social dissatisfaction,Curiosity,28,Kathmandu
Smart,Secretive,Misguided,Political support,20,Ghorahi
Skilful,Coward,Need to outsmart others,"Greed (easy, quick money)",50,Biratnagar
Well-trained,Risk-taker,Anti-social,"Greed (easy, quick money)",63,Janakpur
Well-organized,Chaotic state of mind,Brain-washed,"Greed (easy, quick money)",29,Tulsipur
Well-networked,Risk-taker,"Insufficient social
support",Manipulate others,30,Lalitpur
Smart,Inhuman Psyche,Intolerance to diversity of opinion,Political beliefs,21,Kathmandu
Goal oriented,Coward,Broken homes/families,Thrill-seeking,31,Mahendranagar
Well-organized,Chaotic state of mind,Inferiority complex,Disregard for law,63,Biratnagar
Smart,Conviction in Violence,Anti-establishment,Political support,46,Hetauda
Well-organized,Loner,Radical,Intolerance,41,Jitpur
Focussed,Insensitive,Anti-establishment,Intolerance,57,Pokhara
Smart,Aggressive,Anti-establishment,"Enhancing self-
worth",51,Hetauda
Well-organized,Chaotic state of mind,Rebellious,Disregard for law,53,Hetauda
Goal oriented,Determined,Reinforcement available,Thrill-seeking,27,Itahari
Well-networked,Insensitive,"Insufficient social
support","Greed (easy, quick money)",34,Pokhara
Opportunists,Strong-willed,Intolerance to diversity of opinion,Need to Control others,43,Biratnagar
Creative,Loner,Rationalization,No fear of punishment,39,Tulsipur
Smart,Selfish,Anti-establishment,Anger,22,Nepalgunj
Bully,Gullible,Mass-destruction,Monetary Gain,33,Nepalgunj
Resourceful,Insensitive,Lack Social skills,Intolerance,56,Itahari
Focussed,"Psychologically
Deviant",Inferiority complex,Experimentation,30,Janakpur
Focussed,Vengeful,Mass-destruction,Need to Control others,43,Itahari
Bully,Risk-taker,Reinforcement available,Emotions,41,Ghorahi
Goal oriented,Coward,Social dissatisfaction,Experimentation,61,Mahendranagar
Creative,Coward,Brain-washed,Need to Control others,65,Tulsipur
Well-trained,Gullible,Need to outsmart others,Manipulate others,23,Dhangadi
Bully,Conviction in Violence,Brain-washed,Political beliefs,29,Biratnagar
Strategic planners,Conviction in Violence,Mass-destruction,Intolerance,22,Birgunj
Goal oriented,Immoral/ Unethical,Rationalization,Anger,62,Hetauda
Strategic planners,Psychiatric conditions,Social dissatisfaction,Emotions,40,Kalaiya
Creative,"Psychologically
Deviant",Marginalised,Curiosity,32,Bhaktapur
Goal oriented,Aggressive,Rationalization,"Enhancing self-
worth",38,Biratnagar
Well-trained,Conviction in Violence,Anti-social,"Religious
fundamentalism",26,Kalaiya
Well-organized,Inhuman Psyche,Low self-worth,No fear of punishment,39,Bharatpur
Focussed,Identity crisis,Intolerance to diversity of opinion,Risk tolerance,17,Ghorahi
Opportunists,Passionate,Brain-washed,Monetary Gain,57,Lalitpur
Strategic planners,Passionate,Rebellious,Anger,54,Kathmandu
Sharp (intelligent),Vengeful,Social dissatisfaction,Revenge,47,Nepalgunj
Strategic planners,Impatient,Need to outsmart others,Lust,20,Hetauda
Well-organized,Risk-taker,Marginalised,"Religious
fundamentalism",38,Janakpur
Well trained,Passionate,Socially inept,Disregard for law,64,Dhangadi
Resourceful,Loner,"Insufficient social
support",Lust,33,Biratnagar
Well-networked,Conviction in Violence,Lack Social skills,Risk tolerance,55,Butwal
Opportunists,Coercive,Broken homes/families,"Enhancing self-
worth",32,Mahendranagar
Skilful,Aggressive,Unlawful,Thrill-seeking,46,Pokhara
Well-organized,Strong-willed,"Insufficient social
support",Need to Control others,39,Biratnagar
Skilful,Aggressive,Broken homes/families,"Greed (easy, quick money)",41,Bhaktapur
Well-organized,Coward,Rebellious,Curiosity,20,Janakpur
Well-networked,Coercive,Social dissatisfaction,No fear of punishment,19,Kathmandu
Resourceful,Control freak,"Insufficient social
support","Concealed
existence",40,Tulsipur
Creative,Aggressive,Low self-worth,"Concealed
existence",63,Mahendranagar
Well-organized,Inhuman Psyche,Inferiority complex,Political beliefs,51,Janakpur
Well trained,Conviction in Violence,Broken homes/families,Disregard for law,55,Dharan
Skilful,Insensitive,Broken homes/families,No fear of punishment,16,Dhangadi
Skilful,Conviction in Violence,Low self-worth,"Concealed
existence",25,Jitpur
Focussed,Determined,Inferiority complex,Disregard for law,64,Nepalgunj
Well trained,"Psychologically
Deviant",Misguided,Political support,24,Kathmandu
Focussed,Incited,Mass-destruction,"Religious
fundamentalism",25,Kathmandu
Skilful,Determined,Socially inept,Curiosity,56,Lalitpur
Goal oriented,Control freak,"Insufficient social
support",Manipulate others,41,Lalitpur
Strategic planners,Aggressive,Low self-worth,Risk tolerance,38,Dharan
Smart,Impatient,Broken homes/families,Manipulate others,50,Kalaiya
Resourceful,Insensitive,Broken homes/families,Political beliefs,37,Dharan
Well-trained,Coward,Brain-washed,Thrill-seeking,41,Dharan
Well-networked,Passionate,Anti-state,Lust,58,Kathmandu
Opportunists,Identity crisis,Unlawful,Thrill-seeking,18,Kalaiya
Resourceful,Aggressive,Social dissatisfaction,Plain boredom,46,Nepalgunj
Well-networked,Chaotic state of mind,Reinforcement available,"Greed (easy, quick money)",35,Kathmandu
Well-organized,Conviction in Violence,Socially inept,Disregard for law,50,Hetauda
Skilful,Passionate,Radical,Thrill-seeking,21,Bharatpur
Strategic planners,Incited,Anti-state,Need to Control others,19,Janakpur
Skilful,Loner,Marginalised,No fear of punishment,19,Lalitpur
Opportunists,Risk-taker,Inferiority complex,Emotions,19,Butwal
Creative,Selfish,Rationalization,"Enhancing self-
worth",34,Nepalgunj
Strategic planners,Insensitive,Brain-washed,No fear of punishment,61,Itahari
Well trained,Conviction in Violence,Need to outsmart others,Lust,36,Dharan
Sharp (intelligent),Coercive,Need to outsmart others,Monetary Gain,62,Birgunj
Smart,"Psychologically
Deviant",Low self-worth,"Concealed
existence",64,Janakpur
Opportunists,Passionate,"Insufficient social
support",Intolerance,31,Lalitpur
Goal oriented,Determined,Marginalised,"Religious
fundamentalism",37,Janakpur
Strategic planners,Emotional,Anti-state,Emotions,52,Pokhara
Well-networked,Strong-willed,Anti-state,"Religious
fundamentalism",59,Birgunj
Well-networked,Risk-taker,Anti-establishment,Manipulate others,60,Birgunj
Strategic planners,Inhuman Psyche,Social dissatisfaction,Anger,21,Butwal
Well-networked,Aggressive,Marginalised,Emotions,18,Ghorahi
Focussed,Coercive,"Insufficient social
support",Revenge,25,Butwal
Creative,Control freak,Inferiority complex,Emotions,55,Tulsipur
Well-networked,Passionate,"Insufficient social
support",Anger,50,Butwal
Well-networked,Impatient,Lack Social skills,"Religious
fundamentalism",35,Dhangadi
Creative,Impatient,Rebellious,Intolerance,29,Jitpur
Well-trained,Psychiatric conditions,Radical,Intolerance,45,Tulsipur
Opportunists,Strong-willed,Intolerance to diversity of opinion,"Enhancing self-
worth",24,Mahendranagar
Skilful,Secretive,Brain-washed,Plain boredom,36,Bhaktapur
Focussed,Insensitive,Misguided,Curiosity,20,Bharatpur
Goal oriented,Insensitive,Rationalization,Risk tolerance,51,Tulsipur
Focussed,Chaotic state of mind,Rebellious,"Religious
fundamentalism",26,Hetauda
Well-organized,"Psychologically
Deviant","Insufficient social
support",Political beliefs,28,Kalaiya
Skilful,Inhuman Psyche,Lack Social skills,Lust,50,Lalitpur
Bully,Insensitive,Anti-state,Disregard for law,46,Pokhara
Well trained,Coercive,Broken homes/families,Intolerance,57,Dhangadi
Smart,Immoral/ Unethical,Low self-worth,Political beliefs,48,Tulsipur
Strategic planners,Conviction in Violence,Anti-state,No fear of punishment,45,Mahendranagar
Sharp (intelligent),Identity crisis,"Insufficient social
support",Risk tolerance,65,Mahendranagar
Creative,Emotional,Lack Social skills,Experimentation,53,Itahari
Smart,Conviction in Violence,Lack Social skills,Plain boredom,49,Biratnagar
Well trained,Impatient,Socially inept,Intolerance,34,Janakpur
Creative,Incited,Brain-washed,Curiosity,32,Itahari
Creative,Coward,Anti-social,"Enhancing self-
worth",32,Pokhara
Well-trained,Loner,Lack Social skills,Need to Control others,25,Butwal
Bully,Inhuman Psyche,Lack Social skills,Revenge,24,Jitpur
Well-organized,Conviction in Violence,Brain-washed,Political support,36,Dharan
Strategic planners,Strong-willed,Need to outsmart others,Political beliefs,46,Kalaiya
Strategic planners,Selfish,Broken homes/families,Political support,38,Ghorahi
Bully,Gullible,Radical,Manipulate others,43,Mahendranagar
Skilful,Impatient,Anti-social,Plain boredom,30,Kalaiya
Goal oriented,Psychiatric conditions,Radical,Disregard for law,36,Dharan
Well-organized,Coercive,"Insufficient social
support",Political support,36,Jitpur
Skilful,Coercive,Inferiority complex,Curiosity,23,Kalaiya
Sharp (intelligent),Emotional,Rationalization,Plain boredom,62,Hetauda
Well trained,Insensitive,Rebellious,"Religious
fundamentalism",33,Tulsipur
Creative,Psychiatric conditions,Low self-worth,Plain boredom,21,Dhangadi
Sharp (intelligent),Loner,Rationalization,Lust,41,Biratnagar
Well-networked,Selfish,Marginalised,Plain boredom,56,Lalitpur
Smart,Vengeful,Reinforcement available,Experimentation,50,Itahari
Focussed,Impatient,Rationalization,"Concealed
existence",40,Mahendranagar
Goal oriented,Chaotic state of mind,Socially inept,Plain boredom,34,Bharatpur
Sharp (intelligent),Conviction in Violence,"Insufficient social
support","Enhancing self-
worth",24,Jitpur
Strategic planners,Strong-willed,Mass-destruction,Lust,39,Tulsipur
Opportunists,Incited,Need to outsmart others,Anger,32,Bharatpur
Goal oriented,Determined,Marginalised,Political support,43,Jitpur
Well-networked,Loner,Misguided,Political beliefs,57,Kathmandu
Well trained,Gullible,Socially inept,Experimentation,33,Pokhara
Focussed,Identity crisis,Unlawful,Need to Control others,24,Jitpur
Sharp (intelligent),Control freak,Unlawful,Plain boredom,65,Nepalgunj
Strategic planners,Determined,Unlawful,"Enhancing self-
worth",38,Tulsipur
Well-trained,Secretive,Social dissatisfaction,Manipulate others,53,Butwal
Goal oriented,Secretive,"Insufficient social
support",Lust,23,Kathmandu
Well-networked,Immoral/ Unethical,Need to outsmart others,"Religious
fundamentalism",63,Bhaktapur
Resourceful,"Psychologically
Deviant",Mass-destruction,Plain boredom,44,Jitpur
Goal oriented,Psychiatric conditions,Anti-state,Curiosity,43,Birgunj
Bully,Gullible,Reinforcement available,"Religious
fundamentalism",38,Nepalgunj
Resourceful,Vengeful,Anti-social,Revenge,50,Janakpur
Well-networked,Identity crisis,Brain-washed,Manipulate others,51,Hetauda
Focussed,Coercive,"Insufficient social
support",Political beliefs,42,Nepalgunj
Focussed,Incited,Reinforcement available,Risk tolerance,33,Biratnagar
Sharp (intelligent),Conviction in Violence,Marginalised,Risk tolerance,46,Mahendranagar
Creative,Coercive,Rationalization,Manipulate others,31,Itahari
Creative,Coercive,Anti-establishment,Political beliefs,29,Lalitpur
Smart,Vengeful,Intolerance to diversity of opinion,Emotions,19,Bhaktapur
Goal oriented,Strong-willed,Unlawful,Curiosity,28,Jitpur
Goal oriented,Secretive,Rebellious,"Enhancing self-
worth",18,Ghorahi
Goal oriented,Immoral/ Unethical,Socially inept,Thrill-seeking,52,Jitpur
Well-trained,Immoral/ Unethical,Marginalised,Political support,41,Kalaiya
Opportunists,Emotional,Mass-destruction,Political support,56,Bhaktapur
Opportunists,Psychiatric conditions,Rationalization,"Religious
fundamentalism",53,Biratnagar
Opportunists,Inhuman Psyche,Radical,Political beliefs,65,Bharatpur
Well-organized,Strong-willed,Brain-washed,"Enhancing self-
worth",26,Ghorahi
Bully,Vengeful,Marginalised,Manipulate others,65,Kalaiya
Focussed,Strong-willed,Marginalised,Emotions,35,Itahari
Bully,Vengeful,Marginalised,Disregard for law,35,Pokhara
Goal oriented,Strong-willed,Mass-destruction,"Religious
fundamentalism",49,Janakpur
Well-trained,Control freak,Social dissatisfaction,Need to Control others,41,Butwal
Focussed,Coercive,Socially inept,Disregard for law,57,Pokhara
Goal oriented,Inhuman Psyche,Social dissatisfaction,Revenge,46,Biratnagar
Goal oriented,Gullible,Misguided,"Enhancing self-
worth",65,Tulsipur
Strategic planners,Vengeful,Anti-establishment,"Enhancing self-
worth",63,Biratnagar
Well trained,Immoral/ Unethical,Misguided,Need to Control others,19,Hetauda
Well-networked,Coward,"Insufficient social
support",Intolerance,44,Ghorahi
Well-trained,Psychiatric conditions,Anti-state,Thrill-seeking,41,Ghorahi
Resourceful,Immoral/ Unethical,Mass-destruction,"Religious
fundamentalism",61,Bhaktapur
Well-networked,Immoral/ Unethical,Broken homes/families,Lust,65,Dhangadi
Skilful,Passionate,Intolerance to diversity of opinion,Anger,39,Pokhara
Resourceful,Psychiatric conditions,Reinforcement available,"Concealed
existence",25,Dharan
Skilful,Passionate,Need to outsmart others,Manipulate others,43,Dharan
Focussed,Insensitive,Mass-destruction,"Concealed
existence",42,Mahendranagar
Creative,Conviction in Violence,Socially inept,Risk tolerance,25,Nepalgunj
Skilful,Identity crisis,Anti-social,No fear of punishment,53,Dhangadi
Sharp (intelligent),Chaotic state of mind,"Insufficient social
support",Revenge,41,Bhaktapur
Focussed,"Psychologically
Deviant",Lack Social skills,Political support,22,Ghorahi
Well trained,Inhuman Psyche,Anti-establishment,Political beliefs,61,Butwal
Opportunists,Aggressive,"Insufficient social
support",Experimentation,52,Butwal
Smart,Impatient,Broken homes/families,Emotions,39,Dhangadi
Well trained,Passionate,Misguided,Experimentation,19,Biratnagar
Skilful,Risk-taker,Anti-state,"Greed (easy, quick money)",58,Pokhara
Resourceful,Passionate,Anti-establishment,Monetary Gain,21,Pokhara
Opportunists,Control freak,Marginalised,Political support,30,Hetauda
Bully,Loner,Inferiority complex,Intolerance,35,Nepalgunj
Focussed,Vengeful,Reinforcement available,Curiosity,55,Jitpur
Resourceful,"Psychologically
Deviant",Lack Social skills,"Greed (easy, quick money)",60,Kathmandu
Creative,Insensitive,Unlawful,Revenge,43,Pokhara
Well trained,Risk-taker,Lack Social skills,"Greed (easy, quick money)",52,Butwal
Focussed,Coercive,Low self-worth,Thrill-seeking,20,Tulsipur
Sharp (intelligent),Loner,Misguided,"Greed (easy, quick money)",65,Kathmandu
Opportunists,Selfish,Brain-washed,Curiosity,39,Nepalgunj
Sharp (intelligent),Risk-taker,Social dissatisfaction,"Greed (easy, quick money)",38,Biratnagar
Smart,Control freak,Unlawful,Political beliefs,45,Bhaktapur
Sharp (intelligent),Conviction in Violence,Low self-worth,Risk tolerance,57,Ghorahi
Well-trained,Coward,Reinforcement available,"Concealed
existence",20,Lalitpur
Well-organized,Risk-taker,Anti-social,Political beliefs,21,Jitpur
Well trained,Insensitive,Unlawful,"Religious
fundamentalism",24,Bhaktapur
Creative,Emotional,Rebellious,Intolerance,28,Bharatpur
Smart,Inhuman Psyche,Anti-state,Need to Control others,59,Kalaiya
Strategic planners,Determined,Marginalised,Monetary Gain,61,Ghorahi
Smart,Vengeful,Inferiority complex,Revenge,35,Itahari
Smart,Insensitive,Inferiority complex,Lust,59,Birgunj
Sharp (intelligent),Psychiatric conditions,Rationalization,"Religious
fundamentalism",49,Dharan
Skilful,Insensitive,Rationalization,Revenge,35,Biratnagar
Well-organized,Loner,Mass-destruction,Thrill-seeking,50,Bhaktapur
Opportunists,Loner,Marginalised,Political beliefs,25,Bhaktapur
Smart,Control freak,Need to outsmart others,Experimentation,21,Nepalgunj
Well-networked,Impatient,Rebellious,"Greed (easy, quick money)",43,Kathmandu
Well-organized,Passionate,Inferiority complex,Political beliefs,46,Janakpur
Sharp (intelligent),Gullible,Rebellious,Plain boredom,42,Bhaktapur
Well trained,Insensitive,Rationalization,Political beliefs,34,Janakpur
Well-networked,Secretive,Unlawful,Intolerance,29,Bhaktapur
Focussed,Emotional,Social dissatisfaction,Thrill-seeking,24,Kathmandu
Sharp (intelligent),Coward,Unlawful,Revenge,38,Pokhara
Creative,Impatient,Lack Social skills,Thrill-seeking,55,Biratnagar
Smart,Incited,Marginalised,No fear of punishment,46,Bhaktapur
Smart,Coward,Low self-worth,"Enhancing self-
worth",56,Nepalgunj
Creative,Impatient,Intolerance to diversity of opinion,Manipulate others,64,Hetauda
Opportunists,Coercive,Unlawful,Anger,47,Tulsipur
Smart,Secretive,Unlawful,Intolerance,30,Nepalgunj
Smart,Emotional,Social dissatisfaction,Thrill-seeking,41,Birgunj
Creative,Strong-willed,Anti-social,Lust,26,Kalaiya
Strategic planners,Coercive,Radical,Lust,32,Lalitpur
Well-networked,Coercive,Brain-washed,Political beliefs,41,Hetauda
Smart,Selfish,Brain-washed,Manipulate others,19,Kalaiya
Creative,Risk-taker,Anti-establishment,"Greed (easy, quick money)",49,Tulsipur
Well-organized,Loner,Social dissatisfaction,Thrill-seeking,52,Dhangadi
Well-networked,Determined,Need to outsmart others,Intolerance,34,Janakpur
Bully,Incited,Unlawful,"Greed (easy, quick money)",56,Ghorahi
Creative,Coward,Reinforcement available,Intolerance,52,Kathmandu
Goal oriented,Psychiatric conditions,Lack Social skills,Political beliefs,49,Tulsipur
Creative,Insensitive,"Insufficient social
support","Concealed
existence",37,Butwal
Well-organized,Impatient,Anti-social,Disregard for law,34,Bhaktapur
Well-trained,Coward,Lack Social skills,Curiosity,49,Janakpur
Resourceful,Immoral/ Unethical,"Insufficient social
support","Religious
fundamentalism",43,Birgunj
Opportunists,Impatient,Reinforcement available,Lust,24,Jitpur
Well-trained,Psychiatric conditions,Rationalization,Need to Control others,41,Dhangadi
Smart,Conviction in Violence,Rebellious,Curiosity,63,Jitpur
Smart,Psychiatric conditions,Rebellious,"Enhancing self-
worth",28,Bharatpur
Resourceful,Determined,Anti-social,Risk tolerance,31,Tulsipur
Opportunists,"Psychologically
Deviant",Rebellious,Plain boredom,33,Bharatpur
Focussed,"Psychologically
Deviant","Insufficient social
support",Political support,46,Tulsipur
Well-organized,Insensitive,Need to outsmart others,Emotions,21,Bhaktapur
Well-organized,Control freak,Misguided,Intolerance,31,Janakpur
Well-trained,Strong-willed,Low self-worth,Experimentation,60,Bhaktapur
Bully,Strong-willed,Anti-social,Disregard for law,63,Ghorahi
Opportunists,"Psychologically
Deviant",Misguided,Emotions,39,Lalitpur
Opportunists,Emotional,Brain-washed,Political support,21,Mahendranagar
Bully,Gullible,Inferiority complex,Revenge,39,Ghorahi
Bully,Vengeful,Inferiority complex,Political support,51,Biratnagar
Well-trained,Incited,Anti-social,"Concealed
existence",51,Birgunj
Resourceful,Loner,Broken homes/families,Need to Control others,35,Hetauda
Strategic planners,Passionate,Social dissatisfaction,Thrill-seeking,42,Jitpur
Skilful,Identity crisis,Mass-destruction,Plain boredom,54,Tulsipur
Well trained,Insensitive,Anti-state,Plain boredom,37,Pokhara
Well trained,Determined,Mass-destruction,Emotions,62,Pokhara
Skilful,Risk-taker,Low self-worth,Lust,55,Tulsipur
Resourceful,Coward,Anti-social,Experimentation,37,Bhaktapur
Smart,Vengeful,Reinforcement available,Political beliefs,36,Hetauda
Well-trained,Insensitive,Anti-state,Monetary Gain,48,Bharatpur
Sharp (intelligent),Secretive,Broken homes/families,"Religious
fundamentalism",18,Bhaktapur
Opportunists,Immoral/ Unethical,Rebellious,Political beliefs,23,Butwal
Well-networked,Passionate,Social dissatisfaction,"Greed (easy, quick money)",16,Mahendranagar
Skilful,Immoral/ Unethical,Broken homes/families,Manipulate others,23,Kalaiya
Skilful,Aggressive,Socially inept,Revenge,54,Jitpur
Strategic planners,Selfish,Marginalised,Risk tolerance,23,Lalitpur
Resourceful,Insensitive,Broken homes/families,No fear of punishment,16,Kathmandu
Resourceful,Incited,Unlawful,Manipulate others,27,Bhaktapur
Goal oriented,Conviction in Violence,Rationalization,"Religious
fundamentalism",53,Itahari
Bully,Control freak,Anti-state,Emotions,23,Hetauda
Well trained,Passionate,Marginalised,Experimentation,45,Itahari
Focussed,Secretive,Misguided,Revenge,45,Mahendranagar
Goal oriented,Secretive,Anti-state,Need to Control others,40,Biratnagar
Skilful,Selfish,Rebellious,Anger,17,Bharatpur
Well-trained,Gullible,Anti-state,Political support,19,Birgunj
Goal oriented,"Psychologically
Deviant",Broken homes/families,Disregard for law,61,Birgunj
Well trained,Control freak,Socially inept,Monetary Gain,38,Butwal
Well-organized,"Psychologically
Deviant",Brain-washed,"Concealed
existence",42,Kalaiya
